timestamp,episode,global_step,episode_steps,episode_reward,epsilon,avg_loss,replay_size,x_pos,score,coins,x_reward,score_reward,coin_reward,death_penalty,finish_bonus,dead,finished,model_path
2026-06-14T22:26:35,1,227,227,3182.1,0.997843,0.0,227,1555.0,1200,9,4.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:36,2,393,166,1854.4,0.996267,0.0,393,848.0,700,7,4.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:39,3,755,362,4493.7,0.992827,0.0,755,2094.0,2400,14,4.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:43,4,1216,461,5107.3,0.988448,0.0,1216,2104.0,2800,17,4.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:44,5,1301,85,1134.3,0.987641,0.0,1301,560.0,200,1,6.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:47,6,1672,371,3803.9,0.984116,0.0,1672,1568.0,1300,10,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:50,7,2043,371,3871.6,0.980591,12.521677,2043,1553.0,1600,10,4.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:52,8,2156,113,1687.8,0.979518,11.419782,2156,803.0,1200,9,8.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:55,9,2474,318,3654.8,0.976497,9.877596,2474,1552.0,3200,10,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:26:57,10,2659,185,1732.3,0.974739,7.738462,2659,610.0,200,1,8.0,0.0,0.0,-25.0,0.0,True,False,training_runs\dqn_20260614_222632\models\q_network_episode_00010.weights.h5
2026-06-14T22:27:01,11,3085,426,3254.6,0.970692,8.539163,3085,866.0,4400,9,6.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:01,12,3101,16,293.7,0.970541,10.105768,3101,160.0,100,1,2.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:05,13,3588,487,5858.3,0.965914,5.779052,3588,2711.0,2200,20,6.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:11,14,4370,782,3616.4,0.958485,6.235205,4370,862.0,17400,9,4.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:15,15,4844,474,6453.5,0.953982,5.83632,4844,2739.0,2300,20,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:18,16,5206,362,3915.0,0.950543,9.576966,5206,1568.0,2000,8,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:18,17,5236,30,257.3,0.950258,8.379903,5236,110.0,0,0,10.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:20,18,5315,79,1062.8,0.949507,7.398021,5315,525.0,200,1,10.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:21,19,5352,37,229.6,0.949156,8.449021,5352,83.0,100,1,8.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:23,20,5614,262,3256.4,0.946667,7.383145,5614,1554.0,1200,9,2.0,0.0,0.0,-25.0,0.0,True,False,training_runs\dqn_20260614_222632\models\q_network_episode_00020.weights.h5
2026-06-14T22:27:25,21,5822,208,3248.7,0.944691,7.262015,5822,1553.0,1000,8,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:29,22,6221,399,4489.9,0.940901,11.752594,6221,2093.0,1800,15,6.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:36,23,7301,1080,14077.5,0.93064,11.785327,7301,6276.0,5700,55,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:42,24,8188,887,10477.1,0.922214,13.645501,8188,4361.0,4100,39,2.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T22:27:46,25,8659,471,6070.4,0.91774,14.90664,8659,2739.0,2400,18,4.0,0.0,0.0,-25.0,0.0,True,False,
