timestamp,episode,global_step,episode_steps,episode_reward,epsilon,avg_loss,replay_size,x_pos,score,coins,x_reward,score_reward,enemy_score_ignored,coin_reward,time_penalty,death_penalty,finish_bonus,dead,finished,model_path
2026-06-16T20:33:46,1,546,546,5442.1,0.999654,0.0,546,2087.0,1400,14,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:47,2,887,341,4430.0,0.999438,0.0,887,2099.0,1400,14,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:49,3,1177,290,3566.3,0.999255,0.0,1177,1563.0,1000,10,6.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:50,4,1499,322,3431.4,0.999051,0.0,1499,1537.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:51,5,1830,331,3722.5,0.998841,0.0,1830,1549.0,900,9,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:53,6,2247,417,3970.1,0.998577,0.0,2247,1551.0,900,9,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:54,7,2724,477,4862.1,0.998275,0.0,2724,2112.0,1600,16,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:55,8,2967,243,3318.1,0.998121,0.0,2967,1565.0,1100,11,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:57,9,3401,434,4052.5,0.997846,0.0,3401,1558.0,1000,10,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:33:59,10,3856,455,5925.1,0.997558,0.0,3856,2703.0,2000,20,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,training_runs\dqn_20260616_203344\models\q_network_episode_00010.weights.h5
2026-06-16T20:34:00,11,4183,327,3473.3,0.997351,0.0,4183,1552.0,800,8,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:02,12,4687,504,5314.2,0.997032,0.0,4687,2099.0,1700,17,6.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:05,13,5677,990,9352.5,0.996405,0.0,5677,3551.0,3400,34,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:06,14,5954,277,4300.6,0.996229,0.0,5954,2103.0,1300,13,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:07,15,6235,281,3507.9,0.996051,0.0,6235,1568.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:08,16,6532,297,3536.2,0.995863,0.0,6532,1549.0,900,9,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:10,17,6855,323,3536.0,0.995659,0.0,6855,1539.0,900,9,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:11,18,7111,256,3307.9,0.995496,0.0,7111,1540.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:12,19,7422,311,3777.8,0.995299,0.0,7422,1547.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:13,20,7683,261,3390.7,0.995134,0.0,7683,1544.0,900,9,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,training_runs\dqn_20260616_203344\models\q_network_episode_00020.weights.h5
2026-06-16T20:34:14,21,7965,282,3531.5,0.994955,0.0,7965,1562.0,1000,10,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:16,22,8445,480,4503.2,0.994652,0.0,8445,1563.0,1100,11,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:18,23,8743,298,3418.7,0.994463,0.0,8743,1541.0,800,8,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:20,24,9257,514,4400.6,0.994137,0.0,9257,1554.0,1000,10,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:21,25,9625,368,4754.2,0.993904,0.0,9625,2114.0,1300,13,6.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:25,26,10324,699,7035.7,0.993461,11.159353,10324,2703.0,2000,20,10.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:27,27,10884,560,4570.3,0.993107,10.444382,10884,1536.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:28,28,11105,221,3185.7,0.992967,8.706371,11105,1570.0,1000,10,6.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:30,29,11550,445,4844.5,0.992685,7.370252,11550,2113.0,1400,14,6.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:32,30,11954,404,4686.0,0.992429,6.042198,11954,2111.0,1500,15,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,training_runs\dqn_20260616_203344\models\q_network_episode_00030.weights.h5
2026-06-16T20:34:34,31,12358,404,4581.1,0.992173,4.850919,12358,2082.0,1400,14,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:35,32,12754,396,4977.2,0.991922,3.947939,12754,2113.0,1500,15,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:37,33,13244,490,5190.7,0.991612,3.296602,13244,2111.0,1600,16,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:40,34,13849,605,5110.0,0.991229,2.655695,13849,1568.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:42,35,14325,476,5185.0,0.990927,2.310268,14325,2082.0,1200,13,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:43,36,14657,332,3656.1,0.990717,2.057826,14657,1562.0,900,9,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:44,37,14954,297,3548.1,0.990529,1.898512,14954,1559.0,900,9,4.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:46,38,15439,485,6311.1,0.990222,7.675825,15439,2739.0,2000,20,8.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:48,39,15826,387,4816.8,0.989977,4.846542,15826,2103.0,1500,15,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:50,40,16231,405,3808.3,0.98972,4.47652,16231,1549.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,training_runs\dqn_20260616_203344\models\q_network_episode_00040.weights.h5
2026-06-16T20:34:51,41,16472,241,3367.7,0.989568,4.273629,16472,1559.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:53,42,17097,625,4780.0,0.989172,4.152212,17097,1551.0,1000,10,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:56,43,17753,656,6827.7,0.988756,3.970494,17753,2734.0,2100,21,10.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:34:58,44,18114,361,3692.6,0.988528,3.618111,18114,1539.0,900,9,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:35:00,45,18577,463,5036.4,0.988235,3.659917,18577,2108.0,1500,15,0.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:35:02,46,19282,705,8086.6,0.987788,3.481083,19282,3529.0,2500,25,2.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
2026-06-16T20:35:04,47,19721,439,5054.9,0.98751,3.359124,19721,2100.0,1400,14,6.0,0.0,0.0,0.0,-0.1,-25.0,0.0,True,False,
