timestamp,episode,global_step,episode_steps,episode_reward,epsilon,avg_loss,replay_size,x_pos,score,coins,x_reward,score_reward,enemy_score_ignored,coin_reward,time_penalty,jump_penalty,death_penalty,finish_bonus,dead,finished,model_path
2026-06-17T22:32:31,1,1263,1263,27.55,0.997,0.0,1263,1556.0,900,9,0.3,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:34,2,3961,2698,191.45,0.990593,0.0,3961,4358.0,3600,37,0.0,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:35,3,4985,1024,49.7,0.988161,0.0,4985,1558.0,900,9,0.2,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:37,4,6234,1249,23.9,0.985194,0.0,6234,1542.0,900,9,0.2,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:38,5,7149,915,59.85,0.983021,0.0,7149,1568.0,800,8,0.0,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:41,6,9290,2141,66.05,0.977936,0.0,9290,2728.0,1900,19,0.0,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:43,7,10383,1093,41.8,0.97534,0.03435,10383,1556.0,900,9,0.1,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:46,8,12273,1890,92.05,0.970852,0.022433,12273,2701.0,2200,22,0.3,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:49,9,13998,1725,107.35,0.966755,0.017803,13998,2728.0,2000,20,0.2,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
2026-06-17T22:32:51,10,15066,1068,44.55,0.964218,0.015712,15066,1547.0,1000,10,0.3,0.0,0.0,0.0,-0.1,0.0,-15.0,0.0,True,False,
