timestamp,episode,global_step,episode_steps,episode_reward,epsilon,avg_loss,replay_size,x_pos,score,coins,x_reward,score_reward,coin_reward,death_penalty,finish_bonus,dead,finished,model_path
2026-06-14T20:15:05,1,29,29,255.86,0.999725,0.0,29,110.0,0,0,10.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T20:15:11,2,348,319,3813.77,0.996694,0.0,348,1551.0,1500,10,6.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T20:15:21,3,845,497,5109.05,0.991973,0.0,845,1888.0,2900,24,4.0,0.0,0.0,0.0,100.0,False,True,
2026-06-14T20:15:28,4,1256,411,4486.76,0.988068,0.0,1256,1888.0,2200,11,2.0,0.0,0.0,0.0,100.0,False,True,
2026-06-14T20:15:33,5,1521,265,3513.82,0.98555,0.0,1521,1567.0,1400,10,0.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T20:15:34,6,1550,29,211.86,0.985275,0.0,1550,113.0,0,0,6.0,0.0,0.0,-25.0,0.0,True,False,
2026-06-14T20:15:38,7,1728,178,1952.01,0.983584,0.0,1728,803.0,1100,9,6.0,0.0,0.0,-25.0,0.0,True,False,
