timestamp,episode,global_step,episode_steps,episode_reward,epsilon,avg_loss,replay_size,x_pos,score,coins,x_reward,score_reward,enemy_score_ignored,coin_reward,time_penalty,death_penalty,finish_bonus,dead,finished,model_path
2026-06-17T21:52:23,1,1408,1408,136.8,0.996656,0.0,1408,2714.0,1800,18,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:25,2,2865,1457,70.9,0.993196,0.0,2865,2112.0,1600,16,0.0,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:27,3,4574,1709,44.2,0.989137,0.0,4574,2107.0,1400,14,0.3,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:29,4,6246,1672,47.5,0.985166,0.0,6246,2096.0,1200,12,0.3,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:30,5,7654,1408,68.2,0.981822,0.0,7654,2108.0,1100,11,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:31,6,8421,767,74.4,0.98,0.0,8421,1560.0,900,9,0.1,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:34,7,10017,1596,122.5,0.97621,0.042021,10017,2752.0,1800,18,0.0,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:37,8,11805,1788,104.4,0.971963,0.020865,11805,2713.0,2000,20,0.3,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:39,9,12804,999,54.0,0.969591,0.019558,12804,1551.0,1000,10,0.3,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:41,10,14146,1342,77.9,0.966403,0.016742,14146,2093.0,1200,12,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:43,11,15357,1211,33.3,0.963527,0.015195,15357,1556.0,1000,10,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:45,12,16440,1083,44.0,0.960955,0.021644,16440,1564.0,900,9,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:48,13,18136,1696,114.7,0.956927,0.016186,18136,2752.0,1900,19,0.0,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:49,14,18829,693,82.7,0.955281,0.01691,18829,1560.0,1000,10,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:51,15,19596,767,75.5,0.95346,0.01637,19596,1567.0,900,9,0.3,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:55,16,22161,2565,204.6,0.947368,0.018488,22161,4388.0,3000,30,0.2,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
2026-06-17T21:52:56,17,22992,831,68.0,0.945394,0.017439,22992,1553.0,900,9,0.0,0.0,0.0,0.0,-0.1,-15.0,0.0,True,False,
